genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW,food
CantonSMH,0-125M_24hr,fly04,34.0,0.6333333333333333,30,0.2666666666666666,0.2666666666666666,after food
CantonSMH,0-125M_24hr,fly04,35.0,0.6274509803921569,153,0.2549019607843137,0.2549019607843137,after food
CantonSMH,0-125M_24hr,fly05,1.0,0.25,4,-0.5,0.5,after food
CantonSMH,0-125M_24hr,fly05,6.0,1.0,3,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly05,7.0,0.75,4,0.5,0.5,after food
CantonSMH,0-125M_24hr,fly05,8.0,0.75,4,0.5,0.5,after food
CantonSMH,0-125M_24hr,fly05,9.0,0.3333333333333333,9,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly05,10.0,0.6,5,0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_24hr,fly05,11.0,0.75,4,0.5,0.5,after food
CantonSMH,0-125M_24hr,fly05,12.0,0.8333333333333334,6,0.6666666666666667,0.6666666666666667,after food
CantonSMH,0-125M_24hr,fly05,13.0,0.8571428571428571,7,0.7142857142857142,0.7142857142857142,after food
CantonSMH,0-125M_24hr,fly05,14.0,0.4761904761904761,21,-0.0476190476190476,0.0476190476190476,after food
CantonSMH,0-125M_24hr,fly05,15.0,0.6,15,0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_24hr,fly05,16.0,0.0,3,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly05,17.0,0.8333333333333334,6,0.6666666666666667,0.6666666666666667,after food
CantonSMH,0-125M_24hr,fly05,18.0,0.6153846153846154,13,0.2307692307692308,0.2307692307692308,after food
